# Started logging at 2018-11-29T11:47:27.051759
time, face index, event
0, -1, wait
# Started logging at 2018-11-29T11:48:08.185427
# Started logging at 2018-11-29T11:48:08.185427
time, face index, event
time, face index, event
23, 40, delamination
23, 40, delamination
23, 12, delamination
23, 12, delamination
23, 21, delamination
23, 21, delamination
23, 102, delamination
23, 102, delamination
23, 167, delamination
23, 167, delamination
23, 25, delamination
23, 25, delamination
24, 40, delamination
24, 40, delamination
24, 21, delamination
24, 21, delamination
24, 25, delamination
24, 25, delamination
24, 167, delamination
24, 167, delamination
24, 102, delamination
24, 102, delamination
24, 12, delamination
24, 12, delamination
25, 12, delamination
25, 12, delamination
25, 167, delamination
25, 167, delamination
25, 21, delamination
25, 21, delamination
25, 25, delamination
25, 25, delamination
26, 167, delamination
26, 167, delamination
26, 25, delamination
26, 25, delamination
26, 21, delamination
26, 21, delamination
26, 12, delamination
26, 12, delamination
27, 12, delamination
27, 12, delamination
27, 21, delamination
27, 21, delamination
27, 167, delamination
27, 167, delamination
28, 167, delamination
28, 167, delamination
28, 12, delamination
28, 12, delamination
28, 21, delamination
28, 21, delamination
29, 12, delamination
29, 12, delamination
29, 21, delamination
29, 21, delamination
29, 167, delamination
29, 167, delamination
# Started logging at 2018-11-29T11:54:54.508148
# Started logging at 2018-11-29T11:54:54.508148
# Started logging at 2018-11-29T11:54:54.508148
time, face index, event
time, face index, event
time, face index, event
0, -1, wait
0, -1, wait
0, -1, wait
1, 103, delamination
1, 103, delamination
1, 103, delamination
1, 145, delamination
1, 145, delamination
1, 145, delamination
1, 83, delamination
1, 83, delamination
1, 83, delamination
2, 103, delamination
2, 103, delamination
2, 103, delamination
2, 2, delamination
2, 2, delamination
2, 2, delamination
2, 83, delamination
2, 83, delamination
2, 83, delamination
2, 145, delamination
2, 145, delamination
2, 145, delamination
3, 2, delamination
3, 2, delamination
3, 2, delamination
3, 145, delamination
3, 145, delamination
3, 145, delamination
3, 24, delamination
3, 24, delamination
3, 24, delamination
3, 103, delamination
3, 103, delamination
3, 103, delamination
3, 147, delamination
3, 147, delamination
3, 147, delamination
3, 83, delamination
3, 83, delamination
3, 83, delamination
3, 22, delamination
3, 22, delamination
3, 22, delamination
4, 103, delamination
4, 103, delamination
4, 103, delamination
4, 147, delamination
4, 147, delamination
4, 147, delamination
4, 83, delamination
4, 83, delamination
4, 83, delamination
4, 145, delamination
4, 145, delamination
4, 145, delamination
4, 22, delamination
4, 22, delamination
4, 22, delamination
4, 2, delamination
4, 2, delamination
4, 2, delamination
4, 24, delamination
4, 24, delamination
4, 24, delamination
5, 22, delamination
5, 22, delamination
5, 22, delamination
5, 147, delamination
5, 147, delamination
5, 147, delamination
5, 24, delamination
5, 24, delamination
5, 24, delamination
5, 145, delamination
5, 145, delamination
5, 145, delamination
5, 103, delamination
5, 103, delamination
5, 103, delamination
5, 11, delamination
5, 11, delamination
5, 11, delamination
5, 2, delamination
5, 2, delamination
5, 2, delamination
5, 83, delamination
5, 83, delamination
5, 83, delamination
5, 40, delamination
5, 40, delamination
5, 40, delamination
5, 146, delamination
5, 146, delamination
5, 146, delamination
6, 146, delamination
6, 146, delamination
6, 146, delamination
6, 83, delamination
6, 83, delamination
6, 83, delamination
6, 22, delamination
6, 22, delamination
6, 22, delamination
6, 103, delamination
6, 103, delamination
6, 103, delamination
6, 102, delamination
6, 102, delamination
6, 102, delamination
6, 2, delamination
6, 2, delamination
6, 2, delamination
6, 40, delamination
6, 40, delamination
6, 40, delamination
6, 11, delamination
6, 11, delamination
6, 11, delamination
6, 24, delamination
6, 24, delamination
6, 24, delamination
6, 145, delamination
6, 145, delamination
6, 145, delamination
6, 147, delamination
6, 147, delamination
6, 147, delamination
7, 102, delamination
7, 102, delamination
7, 102, delamination
7, 11, delamination
7, 11, delamination
7, 11, delamination
7, 2, delamination
7, 2, delamination
7, 2, delamination
7, 40, delamination
7, 40, delamination
7, 40, delamination
7, 147, delamination
7, 147, delamination
7, 147, delamination
7, 145, delamination
7, 145, delamination
7, 145, delamination
7, 83, delamination
7, 83, delamination
7, 83, delamination
7, 24, delamination
7, 24, delamination
7, 24, delamination
7, 103, delamination
7, 103, delamination
7, 103, delamination
7, 22, delamination
7, 22, delamination
7, 22, delamination
7, 146, delamination
7, 146, delamination
7, 146, delamination
8, 103, delamination
8, 103, delamination
8, 103, delamination
8, 11, delamination
8, 11, delamination
8, 11, delamination
8, 147, delamination
8, 147, delamination
8, 147, delamination
8, 102, delamination
8, 102, delamination
